,Unnamed: 0,index,Track Name,Artist,love,Uncertainty,Explictives,German,Swedish,Dutch,Spanish
50,50.0,771672.0,Six Feet Under,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51.0,771673.0,"How Far I'll Go - From ""Moana""",Alessia Cara,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52.0,771674.0,Send My Love (To Your New Lover),Adele,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53.0,771675.0,Love Me Now,John Legend,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54.0,771676.0,Love Yourself,Justin Bieber,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,55.0,771677.0,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,56.0,771678.0,Jumpman,Drake,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,57.0,771679.0,Sidewalks,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58.0,771680.0,I Want You Back,The Jackson 5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,59.0,771681.0,Cake By The Ocean,DNCE,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,60.0,771682.0,Low Life,Future,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,61.0,771683.0,goosebumps,Travis Scott,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,62.0,771684.0,Redbone,Childish Gambino,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,63.0,771685.0,Just Hold On,Steve Aoki,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,64.0,771686.0,Billie Jean,Michael Jackson,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,65.0,771687.0,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,66.0,771688.0,Immortal,J. Cole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67.0,771689.0,Ride,Twenty One Pilots,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68.0,771690.0,Ain't No Mountain High Enough,Marvin Gaye,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,69.0,771691.0,Money Longer,Lil Uzi Vert,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70,70.0,771692.0,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71.0,771693.0,No Role Modelz,J. Cole,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,72.0,771694.0,Used to This,Future,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,73.0,771695.0,Chantaje,Shakira,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74.0,771696.0,Pumped Up Kicks,Foster The People,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,75.0,771697.0,Some Kind Of Drug,G-Eazy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,76.0,771698.0,Too Much Sauce,DJ Esco,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,77.0,771699.0,Now and Later,Sage The Gemini,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78.0,771700.0,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,79.0,771701.0,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,80.0,771702.0,Reminder,The Weeknd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,81.0,771703.0,All Time Low,Jon Bellion,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,82.0,771704.0,One Night,Lil Yachty,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,83.0,771705.0,Paper Planes,M.I.A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84.0,771706.0,Stressed Out,Twenty One Pilots,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85.0,771707.0,Titanium (feat. Sia),David Guetta,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86.0,771708.0,Bohemian Rhapsody - Remastered 2011,Queen,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,87.0,771709.0,White Iverson,Post Malone,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,88.0,771710.0,All Night,The Vamps,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,89.0,771711.0,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,90.0,771712.0,"Me, Myself & I",G-Eazy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91.0,771713.0,"i hate u, i love u (feat. olivia o'brien)",gnash,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,92.0,771714.0,Too Many Years,Kodak Black,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93.0,771715.0,Love On The Brain,Rihanna,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,94.0,771716.0,Change,J. Cole,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,95.0,771717.0,Don't,Bryson Tiller,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,96.0,771718.0,Water,Ugly God,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,97.0,771719.0,Rich Girl,Daryl Hall & John Oates,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,98.0,771720.0,Erase Your Social,Lil Uzi Vert,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99,99.0,771721.0,Never Be Like You,Flume,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100.0,771722.0,The Mack,Nevada,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101.0,771723.0,Gold,Kiiara,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,102.0,771724.0,Exchange,Bryson Tiller,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103,103.0,771725.0,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,104.0,771726.0,You Make My Dreams - Remastered,Daryl Hall & John Oates,1.0,0.0,0.0,0.0,0.0,0.0,0.0
