,Artist,Track Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Clabel
0,Tom Petty,Free Fallin',37931.065530534586,-4045.654133022106,38.11299006253421,-36.33133906858299,-3.920585482009752,-0.7966013443128703,-2.644923536333954,0.3848322783723015,-0.8542086093720926,-1.405337908327736,1.5838830623133076,-0.7476049614085785,-1.3967354061340966,-1.081599156145758,0.8425546889283506,-1.9716416363864853,0.26105529278634165,-0.7662401195663637,0.1257270279982592,-2.3168100027793255,-2.4301574229689837,-1.7476422097443063,-0.6842226820095085,2.464969495432385,0.8878894588136621,1
1,Tom Petty and the Heartbreakers,American Girl,-3335.6656162164413,-3903.7518847060765,-7.278243906256307,-6.213395682207853,-3.081819539299623,-0.5358765746627098,1.1152130585767517,-1.129721714814516,-0.3339340132590174,0.30455264356506184,-3.1382471803434573,2.433605437674567,-5.854244585310556,-2.7640884654155875,10.432264352571329,-1.077362813779911,5.832421723418756,-4.8317012294455335,-0.7712281056257493,0.8936489382861172,-0.186992802040296,-3.133119255578322,-0.5795321382320129,1.9978980571096,2.7173851532609827,0
2,Tom Petty,Runnin' Down A Dream,44304.04205461271,-4061.9529630671627,45.83673486067869,49.26244643396396,-2.889585962435735,-1.0214361085116173,-2.371706293893315,2.483660822935851,-1.3496476087141112,-2.509996508622556,4.555748958896364,-1.1772866345647603,-1.4256894903100061,1.5837547520912119,-0.15747007631802923,0.518235954107326,0.5281559320126181,0.560107327099379,-0.4390166020633828,-0.5353005384162857,-2.0096599593542033,-0.10114273157518916,-0.4977338019618429,-0.0851518551129331,1.0108257565083676,1
3,Tom Petty and the Heartbreakers,Mary Jane's Last Dance,54063.98879071538,-4092.2868518422865,57.07882761292444,48.9226200711398,-3.1811546402392423,-1.1471105307860645,-2.0838456986667975,1.38185315163244,-0.5344351608965547,0.4840850286518261,6.758587241011786,-1.3201240996908954,-1.5383360707955696,-0.15644911826549524,0.3995620859172222,-0.355564966884542,0.2717034514034218,-0.15863623071296118,-0.5307972006263402,-0.27171366394031926,-1.6781833296109494,0.14223929181947703,-0.37595723237965295,-0.049230320707843944,0.9935524947803849,1
4,Tom Petty,I Won't Back Down,-39708.41109573921,-3773.1417426542803,-46.27286293938448,-6.789975502326095,-3.8050854413092665,-0.6435706421499718,0.04828228906762089,0.6009920557147606,-1.0590851290995098,-1.13320886651079,3.070194628823156,-0.2865494053097901,-1.7634886000693566,-1.488911689749575,1.3173346623729811,0.46498784018568123,0.4487929256361598,-0.8847741709672707,-0.9882278081800591,-0.6941530351940974,-1.1182198448973657,1.1382442004013047,-0.842014919026532,-0.5174323476818081,1.18065005737237,0
5,A Boogie Wit da Hoodie,No Promises,-20401.524610244403,-3835.7043528504773,-24.52048657361911,24.238531992337037,-3.7525617866164716,-0.9268115856281061,-1.9499508409858048,1.1472634198527358,-1.3684366629614866,-2.2373865125936376,3.7712612929654137,-1.465591593219223,-0.909965525602372,-0.06490159635824755,-0.6473506635509771,0.2456693417480731,0.6872772454148901,-0.28017409240256086,-0.6284684065317068,-1.1427523162313085,-1.1148243004914233,1.6221186588224707,-0.6082368336167541,-0.18184684823476083,0.46563549368112866,0
6,Tom Petty and the Heartbreakers,Breakdown,-54175.30302621945,-3719.088705418725,-61.485978664393315,-6.9984114669418425,-5.014503264018515,-0.9459580328331088,-0.781871476301282,-0.5810379794947256,0.6714813692304897,1.2086019978279943,-3.82362815258446,0.4586112374607296,-0.3861175415047864,-2.5835193552874443,-2.7848831585258242,1.127097407895857,-0.9259422458723598,0.03248614832478225,-1.2265033447555314,-0.44807578008470594,-0.10433244384175477,1.1774119858663177,0.10638168484792843,-0.7190703393771525,-0.18624009926774576,0
7,Tom Petty and the Heartbreakers,Learning To Fly,24038.211541652727,-3980.487140943062,25.663127159730834,-3.9928732856862093,-3.4437256458218677,-0.8081738235349314,-2.620057283066175,1.374125370103688,-1.41831690438821,-2.351611786467537,3.943837760456039,-1.2745869005142403,-1.2753112337272938,-0.06397935062455318,1.0076125086687746,-0.6596889646422358,0.34864518098856134,-0.6346074499582297,-0.5125355993512062,-0.26337028457171296,-1.3360621079242123,-0.0006579170735161455,-0.2658478094307206,-0.6042711924387714,1.1338880145961827,1
8,Tom Petty,You Don't Know How It Feels,71370.92120198157,-4137.651170057616,78.46733146799659,23.54531240825556,-3.511727910698461,-1.0117576109720534,-2.58165527129775,1.6145185153933972,-0.8935710685147988,-1.6075705603381483,4.5823418442688775,-1.281349019602759,-1.456573628253551,0.3201944809345556,-0.33459656732263454,0.28773169162334206,-0.2944819389359816,-0.521481838580458,-1.3541164573812428,-1.2456890982869768,-0.029378158112069563,3.285046147573878,-0.6357928755240696,-1.2098148835471747,0.056384296131561484,1
9,Tom Petty,You Wreck Me,-15175.524172327123,-3842.904956847049,-17.088498061397786,43.781555671560184,-4.269537177931152,-1.2629111236316475,-0.5915190000164796,-0.5720697527835323,0.4465719559974608,1.0914991054235976,-0.8094549236185138,-1.7011253556999169,1.2432040726997826,-6.076343010855997,-2.1472870644236863,6.89168883593007,2.8292727470312213,0.6809100183012404,1.606548153672101,1.7835778538157319,-0.04755363892535147,1.1046869697638577,-0.21518531561051546,-0.7703217518988996,0.265640576422717,0
