,Track Name,Artist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,is_key_0,is_key_1,is_key_2,is_key_3,is_key_4,is_key_5,is_key_6,is_key_7,is_key_8,is_key_9,is_key_10,is_key_11
29,You Was Right,Lil Uzi Vert,0.069,0.843,163944,0.359,0.0,0.12,-7.417000000000001,1,0.461,81.98700000000001,4,0.156,1,0,0,0,0,0,0,0,0,0,0,0
30,Into You,Ariana Grande,0.0161,0.636,244453,0.727,1.12e-06,0.151,-5.852,1,0.106,107.988,4,0.358,0,0,0,0,0,0,0,0,0,1,0,0
31,Too Good,Drake,0.0573,0.804,263373,0.648,3.4899999999999995e-05,0.102,-7.805,1,0.11699999999999999,117.98299999999999,4,0.392,0,0,0,0,0,0,0,1,0,0,0,0
32,Controlla,Drake,0.0773,0.607,245227,0.47600000000000003,0.0,0.113,-11.075999999999999,0,0.249,122.976,5,0.34700000000000003,0,0,0,0,0,0,0,0,0,0,1,0
33,This Is What You Came For,Calvin Harris,0.19899999999999998,0.63,222160,0.9279999999999999,0.124,0.14800000000000002,-2.787,0,0.0331,123.963,4,0.465,0,0,0,0,0,0,0,0,0,1,0,0
34,Say You Won't Let Go,James Arthur,0.695,0.358,211467,0.557,0.0,0.0902,-7.398,1,0.059000000000000004,85.04299999999999,4,0.494,0,0,0,0,0,0,0,0,0,0,1,0
35,All We Know,The Chainsmokers,0.09699999999999999,0.662,194080,0.586,0.0027199999999999998,0.115,-8.821,1,0.0307,90.0,4,0.29600000000000004,1,0,0,0,0,0,0,0,0,0,0,0
36,pick up the phone,Young Thug,0.114,0.711,252256,0.7390000000000001,0.0,0.226,-3.804,0,0.129,136.91899999999998,4,0.43,0,0,0,0,0,0,0,1,0,0,0,0
37,iSpy (feat. Lil Yachty),KYLE,0.37799999999999995,0.746,253107,0.653,0.0,0.22899999999999998,-6.745,1,0.289,75.016,4,0.672,0,0,0,0,0,0,0,1,0,0,0,0
38,Cheap Thrills,Sia,0.0472,0.628,211667,0.698,0.00143,0.0907,-5.608,0,0.105,89.976,4,0.732,0,0,0,0,0,0,1,0,0,0,0,0
39,Needed Me,Rihanna,0.107,0.688,191600,0.325,0.0,0.0837,-8.083,0,0.251,110.88799999999999,4,0.275,0,0,0,0,0,1,0,0,0,0,0,0
40,Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.0736,0.608,185352,0.7979999999999999,0.0,0.156,-5.092,0,0.0432,92.943,4,0.501,0,0,0,0,0,0,1,0,0,0,0,0
41,Panda,Desiigner,0.027999999999999997,0.5760000000000001,246761,0.7659999999999999,1.68e-06,0.366,-4.9430000000000005,0,0.449,144.833,4,0.23600000000000002,0,0,0,0,0,0,0,0,0,0,1,0
42,Scars To Your Beautiful,Alessia Cara,0.0294,0.591,230227,0.741,0.0,0.11,-5.751,1,0.139,97.04799999999999,4,0.452,1,0,0,0,0,0,0,0,0,0,0,0
43,Mercy,Shawn Mendes,0.13699999999999998,0.469,208733,0.68,0.0,0.11,-4.921,0,0.11699999999999999,147.734,4,0.374,0,0,0,0,0,0,0,0,0,0,0,1
44,Neighbors,J. Cole,0.358,0.894,216520,0.284,0.000487,0.11,-13.002,0,0.33,138.944,4,0.413,0,0,0,0,0,0,0,0,0,0,0,1
45,Work,Rihanna,0.0752,0.725,219320,0.534,0.0,0.0919,-6.2379999999999995,1,0.0946,91.97399999999999,4,0.5579999999999999,0,0,0,0,0,0,0,0,0,0,0,1
46,Call On Me - Ryan Riback Extended Remix,Starley,0.0623,0.6759999999999999,222041,0.843,0.000752,0.18100000000000002,-4.0680000000000005,1,0.0367,105.00299999999999,4,0.718,1,0,0,0,0,0,0,0,0,0,0,0
47,Swang,Rae Sremmurd,0.215,0.6779999999999999,208120,0.317,4.31e-05,0.10099999999999999,-9.427,1,0.0583,140.009,4,0.16,0,0,0,0,0,0,0,0,1,0,0,0
48,Six Feet Under,The Weeknd,0.102,0.768,237573,0.485,0.0,0.128,-8.435,0,0.0825,140.016,4,0.289,0,0,0,0,0,0,1,0,0,0,0,0
49,"How Far I'll Go - From ""Moana""",Alessia Cara,0.157,0.314,175517,0.555,0.00010800000000000001,0.067,-9.601,1,0.37,179.666,4,0.159,0,0,0,0,0,0,0,0,0,1,0,0
50,Send My Love (To Your New Lover),Adele,0.0415,0.69,223080,0.524,3.16e-06,0.17,-8.39,0,0.10300000000000001,164.023,4,0.562,0,0,0,0,0,0,1,0,0,0,0,0
51,Love Me Now,John Legend,0.591,0.488,210293,0.762,0.0,0.0763,-3.842,1,0.0865,123.889,4,0.7090000000000001,0,0,0,0,0,0,0,0,1,0,0,0
52,Love Yourself,Justin Bieber,0.835,0.609,233720,0.37799999999999995,0.0,0.28,-9.828,1,0.43799999999999994,100.41799999999999,4,0.515,0,0,0,0,1,0,0,0,0,0,0,0
53,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,0.00381,0.807,144244,0.887,0.0,0.391,-3.892,1,0.275,160.517,4,0.78,0,1,0,0,0,0,0,0,0,0,0,0
54,Jumpman,Drake,0.0565,0.853,205879,0.547,0.0,0.341,-7.535,1,0.19399999999999998,142.065,4,0.6759999999999999,0,1,0,0,0,0,0,0,0,0,0,0
55,Sidewalks,The Weeknd,0.135,0.542,231360,0.727,0.0,0.32799999999999996,-5.268,0,0.0849,150.09799999999998,4,0.5479999999999999,0,1,0,0,0,0,0,0,0,0,0,0
56,I Want You Back,The Jackson 5,0.29,0.639,176333,0.5479999999999999,9.68e-05,0.366,-13.534,1,0.0394,98.359,4,0.887,0,0,0,0,0,0,0,0,1,0,0,0
57,Cake By The Ocean,DNCE,0.156,0.774,219147,0.764,0.0,0.0383,-5.445,0,0.0518,118.99700000000001,4,0.912,0,0,0,0,1,0,0,0,0,0,0,0
58,Low Life,Future,0.337,0.722,313547,0.331,0.28300000000000003,0.146,-7.789,1,0.0725,143.974,4,0.102,0,0,0,0,0,0,0,0,1,0,0,0
59,goosebumps,Travis Scott,0.0847,0.841,243837,0.728,0.0,0.149,-3.37,1,0.0484,130.049,4,0.43,0,0,0,0,0,0,0,1,0,0,0,0
60,Redbone,Childish Gambino,0.19899999999999998,0.743,326933,0.359,0.00611,0.13699999999999998,-10.401,1,0.0794,160.083,4,0.5870000000000001,0,1,0,0,0,0,0,0,0,0,0,0
61,Just Hold On,Steve Aoki,0.0038299999999999996,0.647,198774,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,0,0,0,0,0,0,0,0,0,0,0,1
62,Billie Jean,Michael Jackson,0.0236,0.92,293827,0.654,0.0158,0.0359,-3.051,0,0.0401,117.046,4,0.847,0,0,0,0,0,0,0,0,0,0,0,1
63,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.406,0.72,251088,0.763,0.0,0.18,-4.0680000000000005,0,0.0523,101.965,4,0.742,0,0,0,0,0,0,0,0,0,1,0,0
64,Immortal,J. Cole,0.435,0.713,201667,0.419,2.87e-06,0.126,-10.668,1,0.35600000000000004,91.634,4,0.253,0,0,0,0,0,0,0,0,0,0,0,1
65,Ride,Twenty One Pilots,0.00835,0.645,214507,0.713,0.0,0.113,-5.355,1,0.0393,74.98899999999999,4,0.5660000000000001,0,0,0,0,0,0,1,0,0,0,0,0
66,Ain't No Mountain High Enough,Marvin Gaye,0.48200000000000004,0.669,151667,0.616,0.0,0.179,-10.776,0,0.033,130.037,4,0.818,0,0,0,0,0,0,0,0,0,0,0,1
67,Money Longer,Lil Uzi Vert,0.0541,0.795,198944,0.568,0.0,0.10800000000000001,-7.817,0,0.142,136.173,4,0.478,0,0,0,0,0,1,0,0,0,0,0,0
68,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,0.255,0.502,243491,0.7859999999999999,0.0,0.65,-4.378,0,0.317,169.021,4,0.7390000000000001,0,0,0,0,0,0,0,0,0,1,0,0
69,No Role Modelz,J. Cole,0.302,0.696,292987,0.521,0.0,0.0565,-8.465,0,0.332,100.0,4,0.45799999999999996,0,0,0,0,0,0,0,0,0,0,1,0
70,Used to This,Future,0.0312,0.618,180520,0.727,0.0,0.196,-7.224,0,0.20800000000000002,164.99200000000002,4,0.401,0,0,0,1,0,0,0,0,0,0,0,0
71,Chantaje,Shakira,0.187,0.852,195840,0.773,3.05e-05,0.159,-2.9210000000000003,0,0.0776,102.03399999999999,4,0.907,0,0,0,0,0,0,0,0,1,0,0,0
72,Pumped Up Kicks,Foster The People,0.145,0.733,239600,0.71,0.115,0.0956,-5.849,0,0.0292,127.975,4,0.965,0,0,0,0,0,1,0,0,0,0,0,0
73,Some Kind Of Drug,G-Eazy,0.0705,0.586,222467,0.525,0.0,0.0729,-8.968,1,0.498,126.51,4,0.491,1,0,0,0,0,0,0,0,0,0,0,0
74,Too Much Sauce,DJ Esco,0.0496,0.96,223093,0.547,0.0,0.21600000000000003,-6.992000000000001,0,0.0786,121.01,4,0.18600000000000003,0,0,0,0,0,0,1,0,0,0,0,0
75,Now and Later,Sage The Gemini,0.273,0.7809999999999999,193181,0.57,0.0,0.196,-5.874,0,0.188,107.059,4,0.858,0,0,0,0,0,0,0,0,0,0,0,1
76,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.0353,0.6629999999999999,197933,0.713,7.68e-06,0.0843,-6.647,0,0.11199999999999999,101.965,4,0.69,0,0,0,0,0,0,0,1,0,0,0,0
77,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.21899999999999997,0.647,232720,0.8220000000000001,0.0,0.0908,-4.662,0,0.183,160.019,4,0.9620000000000001,0,0,0,0,0,1,0,0,0,0,0,0
78,Reminder,The Weeknd,0.156,0.71,218880,0.495,0.0,0.16399999999999998,-7.369,1,0.22,160.091,4,0.396,0,0,0,0,0,0,0,0,1,0,0,0
79,All Time Low,Jon Bellion,0.0556,0.609,217603,0.57,0.0,0.0915,-4.239,1,0.10400000000000001,90.195,4,0.531,1,0,0,0,0,0,0,0,0,0,0,0
80,One Night,Lil Yachty,0.366,0.762,243270,0.47600000000000003,0.0,0.10300000000000001,-12.686,1,0.114,130.007,4,0.375,1,0,0,0,0,0,0,0,0,0,0,0
81,Paper Planes,M.I.A.,0.0277,0.457,203760,0.8540000000000001,9.620000000000001e-05,0.731,-6.2,1,0.265,172.231,4,0.485,0,0,1,0,0,0,0,0,0,0,0,0
82,Stressed Out,Twenty One Pilots,0.0462,0.7340000000000001,202333,0.637,2.2899999999999998e-05,0.0602,-5.6770000000000005,0,0.141,169.977,4,0.648,0,0,0,0,1,0,0,0,0,0,0,0
83,Titanium (feat. Sia),David Guetta,0.0682,0.602,245053,0.7959999999999999,0.12,0.15,-3.657,0,0.10300000000000001,126.06,4,0.265,1,0,0,0,0,0,0,0,0,0,0,0
84,Bohemian Rhapsody - Remastered 2011,Queen,0.271,0.414,354320,0.40399999999999997,0.0,0.3,-9.927999999999999,0,0.0499,71.105,4,0.22399999999999998,1,0,0,0,0,0,0,0,0,0,0,0
85,White Iverson,Post Malone,0.21600000000000003,0.674,256533,0.568,0.0,0.0863,-7.678,1,0.0349,130.08100000000002,4,0.321,0,0,0,0,0,0,0,1,0,0,0,0
86,All Night,The Vamps,0.0038,0.544,197640,0.809,0.0,0.32299999999999995,-5.098,1,0.0363,145.017,4,0.44799999999999995,0,0,0,0,0,0,0,0,1,0,0,0
87,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.494,0.42,215670,0.636,0.0,0.122,-7.216,1,0.22,156.10399999999998,5,0.784,0,0,0,0,0,0,0,0,0,0,1,0
88,"Me, Myself & I",G-Eazy,0.0186,0.757,251467,0.672,0.0,0.158,-6.524,0,0.0955,111.99600000000001,4,0.382,1,0,0,0,0,0,0,0,0,0,0,0
89,"i hate u, i love u (feat. olivia o'brien)",gnash,0.687,0.49200000000000005,251034,0.275,0.0,0.10099999999999999,-13.4,0,0.3,92.6,4,0.18,0,0,0,0,0,0,1,0,0,0,0,0
90,Too Many Years,Kodak Black,0.0237,0.665,196336,0.706,0.0,0.11199999999999999,-6.859,0,0.0958,147.067,4,0.632,0,0,0,0,0,0,0,0,1,0,0,0
91,Love On The Brain,Rihanna,0.0848,0.506,224000,0.6409999999999999,8.09e-06,0.073,-4.815,0,0.0456,171.957,3,0.39299999999999996,0,0,0,0,1,0,0,0,0,0,0,0
92,Change,J. Cole,0.642,0.58,331480,0.519,0.00116,0.0936,-10.652999999999999,0,0.251,107.40100000000001,4,0.242,0,0,0,0,0,0,0,0,0,0,0,1
93,Don't,Bryson Tiller,0.222,0.765,198293,0.35600000000000004,0.0,0.0963,-5.556,0,0.196,97.001,4,0.19,0,0,0,0,0,0,0,0,0,0,0,1
94,Water,Ugly God,0.66,0.8,139674,0.297,0.00011100000000000001,0.105,-13.1,0,0.40700000000000003,140.05100000000002,4,0.213,1,0,0,0,0,0,0,0,0,0,0,0
95,Rich Girl,Daryl Hall & John Oates,0.461,0.573,142787,0.6829999999999999,0.0,0.0935,-6.644,1,0.17600000000000002,169.519,4,0.8170000000000001,0,0,0,0,0,1,0,0,0,0,0,0
96,Erase Your Social,Lil Uzi Vert,0.6940000000000001,0.705,199993,0.609,0.0,0.23399999999999999,-5.728,1,0.0729,140.058,4,0.718,0,0,0,1,0,0,0,0,0,0,0,0
97,Never Be Like You,Flume,0.436,0.494,233337,0.5589999999999999,0.0,0.16399999999999998,-5.445,1,0.0565,119.24700000000001,4,0.264,1,0,0,0,0,0,0,0,0,0,0,0
98,The Mack,Nevada,0.0707,0.7070000000000001,167038,0.883,0.0,0.23,-4.281000000000001,1,0.0602,106.031,4,0.541,1,0,0,0,0,0,0,0,0,0,0,0
99,Gold,Kiiara,0.615,0.6,225882,0.41200000000000003,0.0025,0.134,-9.343,1,0.344,113.04899999999999,5,0.408,0,0,0,0,0,0,0,0,1,0,0,0
100,Exchange,Bryson Tiller,0.10800000000000001,0.53,194613,0.433,0.0,0.135,-10.597999999999999,1,0.185,160.14,4,0.27399999999999997,0,0,0,0,0,0,1,0,0,0,0,0
101,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.0291,0.6409999999999999,258343,0.922,0.0,0.0862,-4.457,1,0.0786,146.078,4,0.847,0,0,1,0,0,0,0,0,0,0,0,0
102,You Make My Dreams - Remastered,Daryl Hall & John Oates,0.251,0.748,190733,0.652,0.0598,0.0408,-6.851,1,0.0594,167.17,4,0.8590000000000001,0,0,0,0,0,1,0,0,0,0,0,0
103,Die For You,The Weeknd,0.0975,0.599,260253,0.511,0.0,0.147,-7.136,0,0.0615,133.496,4,0.502,0,1,0,0,0,0,0,0,0,0,0,0
104,Selfish,PnB Rock,0.114,0.638,245604,0.6,0.0,0.187,-5.84,0,0.0438,101.98100000000001,4,0.0399,0,1,0,0,0,0,0,0,0,0,0,0
105,Weak,AJR,0.13699999999999998,0.6729999999999999,201160,0.637,0.0,0.184,-4.518,1,0.0429,123.98,4,0.6779999999999999,0,0,0,0,0,1,0,0,0,0,0,0
