,Track Name,Artist,URL,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
25,Treat You Better,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,4Hf7WnR761jpxPr5D46Bcd,0.123,0.624,187973,0.803,0.0,10,0.114,-4.105,0,0.246,166.018,4,0.821
26,In the Name of Love,Martin Garrix,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,04DwTuZ2VBdJCCC5TROn7L,0.0592,0.49,195840,0.485,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196
27,Sneakin’,Drake,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,4ckuS4Nj4FZ7i3Def3Br8W,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4,0.272
28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,6JV2JOEocMgcZxYSZelKcc,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701
29,Work from Home,Fifth Harmony,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593
30,Heathens,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548
31,You Was Right,Lil Uzi Vert,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,2ANLarE8yHVsLWW21nj79M,0.069,0.843,163944,0.359,0.0,0,0.12,-7.417,1,0.461,81.987,4,0.156
32,Into You,Ariana Grande,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,7yHEDfrJNd0zWOfXwydNH0,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358
33,Too Good,Drake,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,11KJSRSgaDxqydKYiD2Jew,0.0573,0.804,263373,0.648,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392
34,Controlla,Drake,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,6F609ICg9Spjrw1epsAnpa,0.0773,0.607,245227,0.476,0.0,10,0.113,-11.076,0,0.249,122.976,5,0.347
35,This Is What You Came For,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465
36,Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
37,All We Know,The Chainsmokers,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2rizacJSyD9S1IQUxUxnsK,0.097,0.662,194080,0.586,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,0.296
38,pick up the phone,Young Thug,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,20dP2DaMHIAmwWAbp7peSr,0.114,0.711,252256,0.739,0.0,7,0.226,-3.804,0,0.129,136.919,4,0.43
39,iSpy (feat. Lil Yachty),KYLE,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,2EEeOnHehOozLq4aS0n6SL,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
40,Cheap Thrills,Sia,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732
41,Needed Me,Rihanna,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,1Tt4sE4pXi57mTD1GCzsqm,0.107,0.688,191600,0.325,0.0,5,0.0837,-8.083,0,0.251,110.888,4,0.275
42,Cold Water (feat. Justin Bieber & MØ),Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,6DNtNfH8hXkqOX1sjqmI7p,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501
43,Panda,Desiigner,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,5OOkp4U9P9oL23maHFHL1h,0.028,0.576,246761,0.766,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236
44,Scars To Your Beautiful,Alessia Cara,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,0prNGof3XqfTvNDxHonvdK,0.0294,0.591,230227,0.741,0.0,0,0.11,-5.751,1,0.139,97.048,4,0.452
45,Mercy,Shawn Mendes,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,4TZy1wLyHec06pwgFYDh1a,0.137,0.469,208733,0.68,0.0,11,0.11,-4.921,0,0.117,147.734,4,0.374
46,Neighbors,J. Cole,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,0utlOiJy2weVl9WTkcEWHy,0.358,0.894,216520,0.284,0.000487,11,0.11,-13.002,0,0.33,138.944,4,0.413
